sampleId,barcode,schema,version
Rab12_023,barcode01,rabv_ea,V1
Rab12_040,barcode02,rabv_ea,V1
Rab12_041,barcode03,rabv_ea,V1
Rab12_042,barcode04,rabv_ea,V1
Rab12_043,barcode05,rabv_ea,V1
Rab12_044,barcode06,rabv_ea,V1
NTC1,barcode10,rabv_ea,V1
Rab12_053,barcode12,rabv_ea,V1
Rab12_069,barcode13,rabv_ea,V1
Rab12_072,barcode14,rabv_ea,V1
Rab13_001,barcode15,rabv_ea,V1
Rab13_008,barcode17,rabv_ea,V1
Rab14_001,barcode18,rabv_ea,V1
Rab14_013,barcode19,rabv_ea,V1
Rab14_033,barcode20,rabv_ea,V1
RAb14_113,barcode21,rabv_ea,V1
Rab15_019,barcode22,rabv_ea,V1
Rab15_020,barcode23,rabv_ea,V1
NTC2,barcode24,rabv_ea,V1
Rab13_007,barcode16,rabv_ea,V1
Rab12_050,barcode08,rabv_ea,V1
Rab12_048,barcode07,rabv_ea,V1
Rab12_052,barcode11,rabv_ea,V1
Rab12_051,barcode09,rabv_ea,V1
